team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
TEAM SECRET;17;6;35.29;18774;1104.35;32;1.88;27;1.59;83;4.88;144;8.47;148;8.71;43;2.53;22.22;1297.29;134.44;135107;7947.47;90052;5297.18;45055;2650.29;1064;62.59;3932;231.29;35255;2073.82;19630;1154.71;15625;919.12;222;13.06;1349;79.35;2653.26;156.07;1497.06;88.06;23197;1364.53;16151;950.06;2542;149.53;28493426;1676083.88;7984;469.65;7651.39;450.08;3384.34;199.08;10219.12;601.12;7425.59;436.8;1375.05;80.89;440.34;25.9;0;3734;219.65;13465.57;792.09;5554.12;326.71;11442.97;673.12;7576.74;445.69;8170.1;480.59;6313.01;371.35;4536.62;266.86;8394.47;8158.59;8594.06;96;5.65;67;3.94
WILDCARD;17;6;35.29;20556;1209.18;41;2.41;39;2.29;89;5.24;132;7.76;166;9.76;52;3.06;31.06;1295.94;145.94;139793;8223.12;94845;5579.12;44948;2644;1124;66.12;4019;236.41;34666;2039.18;19149;1126.41;15517;912.76;224;13.18;1362;80.12;2364.93;139.11;1597.69;93.98;22519;1324.65;17893;1052.53;3438;202.24;29521600;1736564.75;7900.52;464.74;7615.35;447.96;3930.65;231.21;9785.78;575.63;8098.09;476.36;1562.59;91.92;436.95;25.7;0;4671;274.76;13459.56;791.74;5986.96;352.17;11964.27;703.78;7482.25;440.13;8736.55;513.91;6276.52;369.21;4433.42;260.79;8405.47;8053.35;8733.29;88;5.18;72;4.24
LUMINOSITY;19;7;36.84;20677;1088.26;44;2.32;33;1.74;80;4.21;157;8.26;166;8.74;57;3;28.03;1251.16;142.03;141332;7438.53;96430;5075.26;44902;2363.26;1131;59.53;3845;202.37;32427;1706.68;19094;1004.95;13333;701.74;216;11.37;1121;59;2794.84;147.1;1669.89;87.89;16179;851.53;16999;894.68;2516;132.42;29488522;1552027.5;9350.81;492.15;8353.36;439.65;2829.73;148.93;10974.85;577.62;8072.87;424.89;1486.19;78.22;429.81;22.62;0;4882;256.95;14613.46;769.13;5920.47;311.6;13320.85;701.1;7213.08;379.64;9766.4;514.02;6622.82;348.57;4144.67;218.14;8567.58;8178.05;8932.89;64;3.37;82;4.32
TEAM VITALITY;25;14;56.00;29037;1161.48;54;2.16;38;1.52;120;4.8;251;10.04;187;7.48;44;1.76;21.51;1285.8;143.08;188488;7539.52;129912;5196.48;58576;2343.04;1524;60.96;4928;197.12;47199;1887.96;26950;1078;20249;809.96;312;12.48;1712;68.48;3421.5;136.86;2631.26;105.25;31445;1257.8;22778;911.12;4401;176.04;39473784;1578951.38;11656.41;466.26;10242.7;409.71;4686.21;187.45;14563.75;582.55;9814.65;392.59;2207.02;88.28;448.27;17.93;0;3838;153.52;19601.2;784.05;6984.07;279.36;15617.75;624.71;10967.62;438.7;11192.71;447.71;9055.71;362.23;6336.9;253.48;8167.72;7795.16;8532.4;134;5.36;113;4.52
GENG MOBIL 1;20;9;45.00;23087;1154.35;42;2.1;32;1.6;100;5;146;7.3;168;8.4;40;2;28.77;1278.05;152.88;160915;8045.75;110592;5529.6;50323;2516.15;1382;69.1;4364;218.2;36125;1806.25;21898;1094.9;14227;711.35;253;12.65;1243;62.15;2912.3;145.62;2551.94;127.6;27725;1386.25;28891;1444.55;3535;176.75;33374574;1668728.75;10062.94;503.15;8526.78;426.34;3997.88;199.89;12498.8;624.94;8357.88;417.89;1730.9;86.54;425.21;21.26;0;3958;197.9;15798.37;789.92;6789.2;339.46;15288;764.4;7299.62;364.98;11345.59;567.28;7163.58;358.18;4078.37;203.92;8801;8529.95;9049.15;110;5.5;84;4.2
FURIA;31;17;54.84;39184;1264;64;2.06;53;1.71;210;6.77;248;8;311;10.03;61;1.97;25.81;1241.19;136.54;231946;7482.13;148995;4806.29;82951;2675.84;1765;56.94;7166;231.16;51595;1664.35;28014;903.68;23581;760.68;321;10.35;2034;65.61;4368.77;140.93;2917.46;94.11;40050;1291.94;28082;905.87;4380;141.29;50436376;1626979.88;15340.51;494.86;13028.18;420.26;5773.03;186.23;18725.96;604.06;12832.6;413.95;2583.05;83.32;742.34;23.95;0;6875;221.77;24672.45;795.89;9469.19;305.46;22875.3;737.91;11266.27;363.43;17252.93;556.55;10360.83;334.22;6527.82;210.57;8227.45;7829.94;8590.19;129;4.16;143;4.61
NRG ESPORTS;36;19;52.78;37564;1043.44;56;1.56;48;1.33;175;4.86;300;8.33;260;7.22;54;1.5;18.67;1310.33;148.26;282997;7861.03;200182;5560.61;82815;2300.42;2406;66.83;7217;200.47;69015;1917.08;43155;1198.75;25860;718.33;503;13.97;2237;62.14;5085.44;141.26;4629.93;128.61;50551;1404.19;42017;1167.14;7727;214.64;60367972;1676888.12;15291.82;424.77;15500.04;430.56;8003.49;222.32;20770.7;576.96;14835.76;412.1;3188.97;88.58;744.61;20.68;0;6754;187.61;28425.35;789.59;10370.08;288.06;24370.81;676.97;14424.6;400.68;17793.14;494.25;12527;347.97;8475.21;235.42;8378.81;8047.36;8686.53;181;5.03;130;3.61
KARMINE CORP;26;21;80.77;30038;1155.31;59;2.27;45;1.73;130;5;254;9.77;187;7.19;32;1.23;23.23;1285.58;152.47;195064;7502.46;125978;4845.31;69086;2657.15;1522;58.54;6086;234.08;46289;1780.35;24138;928.38;22151;851.96;285;10.96;1957;75.27;3045.52;117.14;2464.88;94.8;25560;983.08;27592;1061.23;4324;166.31;41519224;1596893.25;11407.59;438.75;11178.89;429.96;4869.13;187.27;14322.47;550.86;10914.56;419.79;2218.59;85.33;605;23.27;0;5950;228.85;20843.81;801.68;6611.8;254.3;16933.77;651.3;10521.84;404.69;12165.95;467.92;9238.74;355.34;6050.84;232.72;8469.92;8176.35;8747.19;115;4.42;91;3.5
THE ULTIMATES;33;18;54.55;36437;1104.15;59;1.79;42;1.27;173;5.24;243;7.36;270;8.18;54;1.64;24.28;1238.48;151.37;243886;7390.48;162107;4912.33;81779;2478.15;1943;58.88;7079;214.52;58747;1780.21;33227;1006.88;25520;773.33;376;11.39;2198;66.61;3987.93;120.85;4064.94;123.18;32026;970.48;34238;1037.52;5095;154.39;52102552;1578865.25;15768.3;477.83;14083.1;426.76;5400.66;163.66;20013.06;606.46;12548.04;380.24;2691.06;81.55;720.16;21.82;0;6621;200.64;25368.75;768.75;9883.42;299.5;22661.7;686.72;12590.22;381.52;16771.32;508.22;11377.32;344.77;7103.45;215.26;8037.94;7589.67;8454.15;111;3.36;158;4.79
HELFIE CHIEFS;11;2;18.18;10833;984.82;17;1.55;15;1.36;48;4.36;80;7.27;94;8.55;40;3.64;21.25;1209.55;136.67;78822;7165.64;53227;4838.82;25595;2326.82;619;56.27;2238;203.45;17348;1577.09;9604;873.09;7744;704;107;9.73;668;60.73;1573.7;143.06;1141.87;103.81;8068;733.45;8958;814.36;1237;112.45;17159412;1559946.5;5342.86;485.71;4692.77;426.62;1792.65;162.97;6296.95;572.45;4759.8;432.71;771.57;70.14;272.59;24.78;0;2647;240.64;8281.13;752.83;3547.17;322.47;7757.74;705.25;4070.59;370.05;5660.81;514.62;3808.53;346.23;2358.91;214.45;8591;8138;8974.55;37;3.36;41;3.73
GEEKAY ESPORTS;23;10;43.48;25121;1092.22;55;2.39;38;1.65;97;4.22;201;8.74;188;8.17;58;2.52;27.36;1319.17;136.22;176369;7668.22;119605;5200.22;56764;2468;1400;60.87;4885;212.39;44128;1918.61;25783;1121;18345;797.61;289;12.57;1548;67.3;3338.92;145.17;2252.6;97.94;27541;1197.43;21218;922.52;3131;136.13;36921936;1605301.62;10259.69;446.07;9776.64;425.07;4561.66;198.33;13162.3;572.27;9501.9;413.13;1933.69;84.07;518.58;22.55;0;5153;224.04;17602.76;765.34;6995.2;304.14;15364.48;668.02;9233.42;401.45;11107.74;482.95;8060.13;350.44;5430.14;236.09;8534.96;8245.09;8829.74;75;3.26;104;4.52
FUT ESPORTS;14;5;35.71;16348;1167.71;25;1.79;18;1.29;91;6.5;94;6.71;150;10.71;39;2.79;26.6;1306.14;139.49;110521;7894.36;77844;5560.29;32677;2334.07;926;66.14;2856;204;22374;1598.14;14191;1013.64;8183;584.5;166;11.86;736;52.57;2215.19;158.23;1569.66;112.12;15130;1080.71;15163;1083.07;2593;185.21;22639744;1617124.62;6818.07;487;6054.62;432.47;2526.65;180.47;8192.36;585.17;6125.94;437.57;1081.01;77.22;304.15;21.73;0;3019;215.64;10994.63;785.33;4404.71;314.62;10894.13;778.15;4505.19;321.8;8412.6;600.9;4429.11;316.36;2557.62;182.69;8392.07;8031.71;8679.36;59;4.21;69;4.93
COMPLEXITY;15;6;40.00;18297;1219.8;28;1.87;26;1.73;93;6.2;126;8.4;146;9.73;32;2.13;22.22;1274.73;149.49;124920;8328;83836;5589.07;41084;2738.93;1023;68.2;3633;242.2;32902;2193.47;18982;1265.47;13920;928;224;14.93;1211;80.73;1996.73;133.12;1761.19;117.41;19656;1310.4;19648;1309.87;3780;252;26366000;1757733.38;7793.86;519.59;7009.5;467.3;2935.72;195.71;9975.73;665.05;6363.69;424.25;1399.7;93.31;346.6;23.11;0;3197;213.13;12349.49;823.3;5389.65;359.31;11315.44;754.36;6423.64;428.24;8259.82;550.65;5756.13;383.74;3723.14;248.21;8229.4;7838.07;8608.27;62;4.13;78;5.2
TWISTED MINDS;24;14;58.33;29732;1238.83;66;2.75;51;2.12;123;5.12;236;9.83;204;8.5;54;2.25;27.97;1336.62;149.47;193397;8058.21;130641;5443.38;62756;2614.83;1624;67.67;5595;233.12;46660;1944.17;26850;1118.75;19810;825.42;316;13.17;1735;72.29;2374.63;98.94;3005.19;125.22;33494;1395.58;33190;1382.92;5237;218.21;40535708;1688987.88;9882.89;411.79;10469.57;436.23;5680.76;236.7;14031.59;584.65;10098.26;420.76;1903.24;79.3;512.24;21.34;0;5000;208.33;19439.84;809.99;6593.39;274.72;16858.87;702.45;9174.22;382.26;12480.5;520.02;8154.05;339.75;5398.49;224.94;8802.83;8448.17;9135.17;88;3.67;95;3.96
DIGNITAS;22;10;45.45;25549;1161.32;39;1.77;33;1.5;131;5.95;187;8.5;201;9.14;41;1.86;20.86;1246;155.32;174237;7919.86;117082;5321.91;57155;2597.95;1433;65.14;5046;229.36;36248;1647.64;19236;874.36;17012;773.27;234;10.64;1503;68.32;2281.98;103.73;2860.94;130.04;25355;1152.5;28145;1279.32;4424;201.09;37122604;1687391.12;11042.83;501.95;9671.55;439.62;4265.36;193.88;13888.17;631.28;9228.76;419.49;1862.83;84.67;518.9;23.59;0;5058;229.91;17943.59;815.62;7036.24;319.83;16684.64;758.39;8295.11;377.05;12216.97;555.32;8207.59;373.07;4555.24;207.06;8582;8163.5;8926.95;98;4.45;98;4.45
TEAM FALCONS;29;17;58.62;35214;1214.28;75;2.59;57;1.97;145;5;269;9.28;222;7.66;55;1.9;27.88;1429.34;140.92;246238;8490.97;166191;5730.72;80047;2760.24;1953;67.34;6869;236.86;52088;1796.14;27487;947.83;24601;848.31;318;10.97;2084;71.86;4261.19;146.94;2838.7;97.89;40588;1399.59;30022;1035.24;4567;157.48;48752464;1681119.5;11774.99;406.03;12649.33;436.18;6880.47;237.26;16129.33;556.18;12680.92;437.27;2494.57;86.02;648.79;22.37;0;6493;223.9;23089.57;796.19;8215.32;283.29;19675.48;678.46;11629.3;401.01;14227.84;490.62;10540.32;363.46;6536.63;225.4;8469.83;8169.79;8762.62;84;2.9;106;3.66
