team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
INTAKE REGION;6;0;0.00;5022;837;6;1;3;0.5;23;3.83;46;7.67;50;8.33;19;3.17;13.04;1269.17;146.67;44082;7347;31659;5276.5;12423;2070.5;365;60.83;1090;181.67;10728;1788;6647;1107.83;4081;680.17;75;12.5;352;58.67;919.16;153.19;573.44;95.57;6332;1055.33;5171;861.83;985;164.17;9394125;1565687.5;2564.15;427.36;2397.21;399.54;1252.26;208.71;3142.83;523.8;2658.25;443.04;412.52;68.75;125.32;20.89;0;1395;232.5;4176.55;696.09;2037.06;339.51;4028.8;671.47;2184.82;364.14;3026.47;504.41;1900.88;316.81;1286.29;214.38;8384.33;7962.5;8739.33;21;3.5;27;4.5
SOUTHWEST SIDE;2;0;0.00;2016;1008;3;1.5;2;1;12;6;14;7;26;13;8;4;21.43;1167;136.84;13772;6886;9270;4635;4502;2251;107;53.5;396;198;2861;1430.5;1521;760.5;1340;670;18;9;118;59;266.53;133.26;103.92;51.96;1964;982;1422;711;283;141.5;3112515;1556257.5;944.11;472.05;788.5;394.25;405.49;202.74;1144.12;572.06;875.14;437.57;118.86;59.43;36.56;18.28;0;442;221;1583.69;791.85;554.4;277.2;1397.35;698.67;740.76;370.38;1076.54;538.27;634.18;317.09;427.38;213.69;8637.5;8320.5;8938.5;2;1;8;4
DEKUBOP;64;26;40.62;68860;1075.94;127;1.98;99;1.55;320;5;479;7.48;600;9.38;196;3.06;26.51;1234.31;144.35;473628;7400.44;332370;5193.28;141258;2207.16;3959;61.86;12383;193.48;105113;1642.39;61472;960.5;43641;681.89;722;11.28;3807;59.48;9277.65;144.96;7005.62;109.46;67066;1047.91;62659;979.05;10113;158.02;102638736;1603730.25;30728.79;480.14;26437.97;413.09;12416.25;194;38028.12;594.19;26679.31;416.86;4875.49;76.18;1422.88;22.23;0;11229;175.45;48868.35;763.57;20714.58;323.67;45692.94;713.95;23889.82;373.28;33902.07;529.72;21967.37;343.24;13713.62;214.28;8934.02;8537.98;9273.97;222;3.47;206;3.22
REVENUE;13;6;46.15;13143;1011;25;1.92;20;1.54;51;3.92;98;7.54;97;7.46;25;1.92;25.51;1243.23;135.41;98460;7573.85;66678;5129.08;31782;2444.77;781;60.08;2727;209.77;23001;1769.31;13099;1007.62;9902;761.69;151;11.62;851;65.46;2104.55;161.89;1146.86;88.22;11908;916;10366;797.38;1702;130.92;20804312;1600331.75;6774.76;521.14;5797.12;445.93;1894.66;145.74;8370.03;643.85;5192.48;399.42;904.03;69.54;285.68;21.98;0;2879;221.46;10258.73;789.13;4207.78;323.68;9157.28;704.41;5309.13;408.39;6632.79;510.21;4765.63;366.59;3068.15;236.01;8189.08;7862.38;8479.85;47;3.62;49;3.77
F. MARINOS;7;1;14.29;6826;975.14;14;2;12;1.71;27;3.86;50;7.14;60;8.57;22;3.14;28;1259;137.59;53970;7710;32358;4622.57;21612;3087.43;406;58;1595;227.86;10840;1548.57;4844;692;5996;856.57;58;8.29;420;60;1080.4;154.34;500.9;71.56;8578;1225.43;6311;901.57;744;106.29;11858483;1694069;3158.76;451.25;3164.68;452.1;1492.31;213.19;4402.59;628.94;2954.26;422.04;458.93;65.56;172.9;24.7;0;1878;268.29;5582.48;797.5;2233.25;319.04;5413.97;773.42;2401.77;343.11;4051.5;578.79;2458.71;351.24;1305.58;186.51;8374.71;7989;8676.29;35;5;16;2.29
LUMINOSITY;69;59;85.51;89104;1291.36;246;3.57;192;2.78;244;3.54;758;10.99;376;5.45;81;1.17;32.45;1230.38;154.1;526754;7634.12;360231;5220.74;166523;2413.38;4366;63.28;14595;211.52;132056;1913.86;75021;1087.26;57035;826.59;899;13.03;4897;70.97;8448.67;122.44;7621.8;110.46;65897;955.03;80598;1168.09;15836;229.51;110296576;1598501.12;34939.21;506.37;30506.14;442.12;10763.92;156;42405.09;614.57;28217.39;408.95;5586.82;80.97;1527.6;22.14;0;16646;241.25;56687.8;821.56;19521.52;282.92;44431.65;643.94;31777.49;460.54;31102.63;450.76;26444.05;383.25;18662.58;270.47;8782.1;8469.36;9142.77;267;3.87;237;3.43
GOD SPEED;3;2;66.67;3568;1189.33;7;2.33;6;2;16;5.33;18;6;29;9.67;4;1.33;38.89;1240.33;141.7;20647;6882.33;14440;4813.33;6207;2069;170;56.67;563;187.67;3973;1324.33;2413;804.33;1560;520;28;9.33;142;47.33;360.66;120.22;235.16;78.39;2731;910.33;2578;859.33;350;116.67;4499425;1499808.38;1311.82;437.27;1196.08;398.69;528.84;176.28;1717.56;572.52;1151.82;383.94;167.41;55.8;64.67;21.56;0;693;231;2202.06;734.02;834.73;278.24;2105.51;701.84;931.27;310.42;1580;526.67;941.44;313.81;515.32;171.77;8824.67;8737.67;8870.33;15;5;6;2
GOD SPEED;43;21;48.84;45318;1053.91;76;1.77;51;1.19;231;5.37;278;6.47;409;9.51;93;2.16;27.34;1155.23;146.49;292173;6794.72;201859;4694.4;90314;2100.33;2480;57.67;7973;185.42;58563;1361.93;34033;791.47;24530;570.47;412;9.58;2131;49.56;5350.63;124.43;4106.33;95.5;35171;817.93;43487;1011.33;6990;162.56;65633660;1526364.12;21269.4;494.64;17408.18;404.84;6862.79;159.6;25220.1;586.51;17603.78;409.39;2716.54;63.18;935.42;21.75;0;10047;233.65;32950.02;766.28;12590.36;292.8;31125.25;723.84;14415.08;335.23;23642.21;549.82;13740.91;319.56;8157.22;189.7;8570.37;8249.6;8794.33;161;3.74;137;3.19
3RATS;79;48;60.76;93440;1182.78;205;2.59;169;2.14;374;4.73;661;8.37;642;8.13;165;2.09;31.01;1289.53;148.22;606509;7677.33;417635;5286.52;188874;2390.81;5032;63.7;16265;205.89;139327;1763.63;80338;1016.94;58989;746.7;954;12.08;5012;63.44;9982.61;126.36;9733.47;123.21;89919;1138.22;83527;1057.3;14910;188.73;126200360;1597472.88;36569.01;462.9;34222.2;433.19;14390.34;182.16;46593.45;589.79;32633.68;413.08;5954.27;75.37;1786.93;22.62;0;18451;233.56;61324.54;776.26;23856.89;301.99;55023.52;696.5;30157.61;381.74;40200.71;508.87;27472.26;347.75;17508.49;221.63;8853.75;8497.54;9170.59;239;3.03;272;3.44
SMALL ESPORTS;6;0;0.00;6248;1041.33;11;1.83;7;1.17;31;5.17;41;6.83;63;10.5;22;3.67;26.83;1183;152.64;42744;7124;27866;4644.33;14878;2479.67;329;54.83;1206;201;8340;1390;4493;748.83;3847;641.17;55;9.17;319;53.17;754.8;125.8;793.89;132.32;5987;997.83;5009;834.83;1014;169;9266686;1544447.62;2867.91;477.98;2429.39;404.9;1089.97;181.66;3591.73;598.62;2358.24;393.04;437.33;72.89;125.5;20.92;0;977;162.83;4545.04;757.51;1842.23;307.04;4509.81;751.63;1877.47;312.91;3443.41;573.9;1895.09;315.85;1048.76;174.79;8442.83;8090.67;8701.83;15;2.5;26;4.33
